IPK,Kehadiran,Jam_Belajar,Organisasi,Penghasilan_Ortu,Jenis_Kelamin,Status_Beasiswa,Lulus_Tepat_Waktu
3.16,82.2,3.0,Tidak,Sedang,Laki-laki,Tidak,Tidak
3.36,76.0,5.6,Ya,Rendah,Laki-laki,Tidak,Tidak
3.76,70.2,1.3,Tidak,Sedang,Laki-laki,Tidak,Tidak
3.55,76.7,0.9,Tidak,Sedang,Laki-laki,Tidak,Tidak
4.0,83.7,5.3,Tidak,Rendah,Perempuan,Ya,Ya
2.83,100.0,2.9,Ya,Sedang,Perempuan,Tidak,Tidak
3.52,78.8,2.3,Tidak,Sedang,Perempuan,Tidak,Ya
3.23,86.2,4.7,Ya,Rendah,Laki-laki,Tidak,Ya
4.0,83.8,2.4,Ya,Sedang,Laki-laki,Tidak,Ya
2.81,95.9,5.8,Tidak,Sedang,Perempuan,Tidak,Tidak
2.8,100.0,4.1,Tidak,Sedang,Laki-laki,Tidak,Tidak
2.9,78.7,2.5,Tidak,Rendah,Laki-laki,Ya,Tidak
2.26,79.1,6.2,Tidak,Rendah,Perempuan,Ya,Tidak
2.93,94.4,2.4,Tidak,Sedang,Perempuan,Tidak,Tidak
2.83,90.8,4.2,Ya,Tinggi,Perempuan,Tidak,Ya
3.21,100.0,3.6,Ya,Rendah,Laki-laki,Tidak,Ya
3.29,89.8,5.0,Ya,Sedang,Perempuan,Ya,Ya
3.94,80.4,5.4,Tidak,Rendah,Perempuan,Tidak,Ya
3.55,89.9,3.2,Ya,Sedang,Perempuan,Tidak,Ya
2.91,95.1,2.1,Ya,Tinggi,Perempuan,Tidak,Tidak
2.77,92.2,3.8,Ya,Sedang,Perempuan,Tidak,Ya
3.36,89.1,2.3,Tidak,Rendah,Perempuan,Tidak,Tidak
2.6,94.7,6.0,Ya,Sedang,Laki-laki,Ya,Ya
3.92,95.7,3.4,Tidak,Rendah,Perempuan,Tidak,Ya
3.65,97.8,2.7,Tidak,Sedang,Perempuan,Tidak,Ya
2.95,90.5,3.5,Tidak,Sedang,Perempuan,Ya,Tidak
2.43,82.3,1.3,Ya,Rendah,Laki-laki,Ya,Tidak
3.72,85.5,1.8,Ya,Rendah,Laki-laki,Tidak,Ya
3.1,96.1,4.9,Tidak,Sedang,Perempuan,Tidak,Ya
3.67,75.8,2.3,Tidak,Tinggi,Perempuan,Tidak,Tidak
2.48,87.7,1.7,Tidak,Tinggi,Perempuan,Ya,Tidak
2.9,80.1,4.0,Tidak,Rendah,Perempuan,Tidak,Tidak
3.15,84.3,4.9,Tidak,Sedang,Perempuan,Ya,Ya
3.17,96.8,4.2,Tidak,Sedang,Perempuan,Ya,Tidak
2.96,85.9,4.6,Ya,Sedang,Perempuan,Tidak,Ya
3.41,84.5,2.1,Tidak,Sedang,Perempuan,Tidak,Ya
2.7,70.4,1.2,Tidak,Tinggi,Perempuan,Tidak,Tidak
3.09,91.5,5.3,Tidak,Tinggi,Laki-laki,Tidak,Ya
3.2,90.5,2.7,Ya,Sedang,Laki-laki,Tidak,Ya
3.37,100.0,2.8,Ya,Sedang,Perempuan,Ya,Tidak
3.45,80.9,5.1,Ya,Sedang,Laki-laki,Ya,Ya
2.68,86.2,4.0,Tidak,Rendah,Laki-laki,Tidak,Tidak
2.51,86.5,3.8,Ya,Sedang,Laki-laki,Ya,Tidak
3.69,99.8,6.2,Tidak,Sedang,Laki-laki,Tidak,Ya
3.29,83.0,2.3,Ya,Sedang,Laki-laki,Tidak,Tidak
2.84,86.8,4.5,Ya,Rendah,Laki-laki,Tidak,Tidak
3.8,90.1,3.3,Ya,Rendah,Perempuan,Tidak,Ya
3.2,85.9,3.6,Ya,Tinggi,Perempuan,Ya,Ya
3.65,79.5,5.3,Ya,Rendah,Laki-laki,Ya,Ya
3.18,85.9,3.9,Tidak,Sedang,Laki-laki,Tidak,Tidak
4.0,94.7,4.0,Ya,Rendah,Perempuan,Tidak,Ya
3.89,73.7,4.7,Tidak,Rendah,Laki-laki,Tidak,Ya
3.05,85.3,2.7,Tidak,Rendah,Perempuan,Tidak,Tidak
3.56,77.0,2.0,Tidak,Rendah,Perempuan,Ya,Tidak
3.42,96.0,1.7,Tidak,Tinggi,Perempuan,Ya,Ya
3.72,68.8,0.5,Tidak,Rendah,Laki-laki,Tidak,Ya
2.74,78.4,6.1,Tidak,Tinggi,Perempuan,Tidak,Ya
3.44,87.8,1.7,Tidak,Sedang,Laki-laki,Tidak,Tidak
3.59,99.7,2.9,Ya,Sedang,Perempuan,Tidak,Ya
2.41,83.3,2.8,Tidak,Sedang,Perempuan,Tidak,Tidak
2.65,78.4,3.6,Tidak,Sedang,Laki-laki,Tidak,Tidak
2.29,100.0,4.3,Ya,Sedang,Laki-laki,Ya,Ya
3.04,69.5,4.4,Tidak,Rendah,Laki-laki,Ya,Ya
3.45,62.0,2.4,Ya,Sedang,Perempuan,Tidak,Tidak
3.78,88.4,3.0,Ya,Tinggi,Laki-laki,Tidak,Ya
3.18,79.0,3.6,Ya,Tinggi,Perempuan,Tidak,Ya
3.83,73.8,2.9,Ya,Tinggi,Laki-laki,Tidak,Ya
2.57,91.1,5.5,Tidak,Sedang,Perempuan,Ya,Ya
2.43,86.4,3.9,Ya,Sedang,Perempuan,Tidak,Tidak
3.13,78.4,4.2,Tidak,Sedang,Perempuan,Tidak,Tidak
3.31,71.2,4.1,Tidak,Sedang,Perempuan,Tidak,Tidak
3.14,92.7,4.8,Ya,Rendah,Laki-laki,Ya,Tidak
2.28,90.5,3.5,Tidak,Sedang,Laki-laki,Tidak,Tidak
3.11,83.0,1.4,Ya,Rendah,Perempuan,Tidak,Ya
2.6,100.0,3.8,Ya,Sedang,Laki-laki,Tidak,Tidak
3.43,73.3,2.3,Ya,Tinggi,Laki-laki,Ya,Tidak
3.3,68.7,2.5,Ya,Rendah,Laki-laki,Ya,Tidak
2.76,77.1,4.0,Tidak,Rendah,Laki-laki,Tidak,Tidak
2.93,83.5,4.9,Tidak,Rendah,Laki-laki,Ya,Tidak
2.71,86.4,3.2,Ya,Tinggi,Perempuan,Ya,Tidak
3.12,81.6,3.6,Tidak,Sedang,Laki-laki,Ya,Ya
3.55,87.5,5.6,Ya,Sedang,Perempuan,Tidak,Ya
2.74,71.5,3.5,Ya,Tinggi,Laki-laki,Tidak,Tidak
3.36,98.4,6.8,Ya,Tinggi,Perempuan,Tidak,Ya
2.93,83.2,4.0,Tidak,Sedang,Laki-laki,Ya,Ya
2.82,95.2,0.7,Tidak,Sedang,Perempuan,Tidak,Tidak
3.11,87.4,4.3,Tidak,Sedang,Perempuan,Ya,Ya
2.72,88.6,3.7,Tidak,Sedang,Laki-laki,Tidak,Ya
2.92,89.7,5.0,Ya,Rendah,Perempuan,Ya,Ya
2.65,88.5,4.1,Tidak,Tinggi,Perempuan,Ya,Ya
3.98,90.4,3.0,Tidak,Sedang,Perempuan,Tidak,Ya
3.16,97.3,1.5,Tidak,Rendah,Perempuan,Ya,Ya
2.86,86.0,2.9,Ya,Sedang,Laki-laki,Tidak,Tidak
3.24,91.1,2.0,Ya,Rendah,Perempuan,Ya,Ya
3.1,83.1,2.4,Tidak,Rendah,Laki-laki,Tidak,Tidak
3.06,98.4,4.0,Tidak,Sedang,Laki-laki,Tidak,Ya
3.41,77.2,5.5,Tidak,Rendah,Perempuan,Ya,Ya
3.47,100.0,3.8,Tidak,Sedang,Laki-laki,Tidak,Ya
2.93,83.6,1.5,Ya,Sedang,Perempuan,Ya,Tidak
2.91,69.7,3.8,Ya,Rendah,Perempuan,Tidak,Tidak
3.03,85.3,4.9,Tidak,Tinggi,Perempuan,Tidak,Ya
2.18,77.2,2.3,Tidak,Rendah,Perempuan,Tidak,Tidak
2.51,92.4,3.0,Ya,Sedang,Laki-laki,Tidak,Ya
3.72,77.5,3.2,Tidak,Sedang,Laki-laki,Tidak,Tidak
3.84,79.5,2.1,Ya,Rendah,Laki-laki,Tidak,Ya
3.05,65.1,4.1,Tidak,Rendah,Laki-laki,Tidak,Tidak
3.39,79.5,3.0,Tidak,Sedang,Laki-laki,Tidak,Tidak
3.28,59.8,3.8,Tidak,Tinggi,Laki-laki,Ya,Tidak
4.0,68.2,2.0,Tidak,Rendah,Perempuan,Ya,Ya
3.62,91.6,2.6,Ya,Sedang,Perempuan,Tidak,Ya
3.1,91.9,4.2,Tidak,Sedang,Laki-laki,Ya,Ya
2.75,88.3,2.7,Tidak,Tinggi,Perempuan,Tidak,Tidak
2.48,74.3,5.6,Tidak,Sedang,Laki-laki,Ya,Ya
3.24,83.5,2.6,Tidak,Sedang,Laki-laki,Ya,Tidak
2.83,84.0,3.5,Tidak,Sedang,Perempuan,Ya,Ya
2.55,72.4,4.5,Tidak,Sedang,Perempuan,Tidak,Tidak
2.88,99.0,1.2,Ya,Tinggi,Perempuan,Ya,Tidak
2.7,92.8,0.7,Tidak,Rendah,Laki-laki,Tidak,Tidak
3.86,81.8,1.1,Tidak,Sedang,Perempuan,Ya,Ya
3.52,84.3,5.0,Ya,Tinggi,Perempuan,Tidak,Ya
3.15,86.1,2.4,Tidak,Tinggi,Perempuan,Tidak,Tidak
3.77,63.6,6.8,Ya,Tinggi,Perempuan,Ya,Ya
3.18,81.5,2.4,Tidak,Sedang,Perempuan,Ya,Ya
2.79,77.2,3.5,Ya,Sedang,Perempuan,Tidak,Tidak
3.79,74.0,5.4,Ya,Sedang,Perempuan,Ya,Ya
3.38,81.2,6.0,Ya,Sedang,Perempuan,Tidak,Ya
2.71,100.0,6.1,Ya,Rendah,Perempuan,Tidak,Ya
3.07,90.4,4.9,Tidak,Sedang,Laki-laki,Tidak,Ya
2.78,78.3,4.6,Ya,Sedang,Perempuan,Tidak,Tidak
2.57,89.7,4.0,Tidak,Rendah,Laki-laki,Tidak,Tidak
